n_cubes,overlap,clusterer,n_nodes,n_edges,n_components,n_cycles,overlap_ratio,mean_node_size,size_cv,graph_density,lcc_fraction,node_cohesion,cat_separation,size_penalty,composite_score,penalised_score
50,0.35,HDBSCAN,449,781,41,373,0.5124,6.04,0.606,0.0078,0.1537,-0.0154,0.1693,0.0025,0.2538,0.0006
17,0.65,AdaptiveDBSCAN,469,1808,44,1383,0.8225,10.69,0.9073,0.0165,0.1087,0.0811,0.1031,0.0014,0.3306,0.0005
7,0.7,AdaptiveDBSCAN,471,1779,56,1364,0.8413,9.7,1.2731,0.0161,0.0764,0.1262,0.1098,0.0013,0.3566,0.0005
30,0.45,HDBSCAN,462,906,57,501,0.6346,7.38,0.8677,0.0085,0.1948,0.0033,0.1444,0.0017,0.2951,0.0005
25,0.6,AdaptiveDBSCAN,474,1753,36,1315,0.7746,9.62,0.7278,0.0156,0.2257,0.0699,0.1101,0.0012,0.3672,0.0004
40,0.4,HDBSCAN,465,881,52,468,0.5892,6.8,0.7194,0.0082,0.1333,0.0058,0.1617,0.0016,0.2705,0.0004
25,0.5,HDBSCAN,476,1000,44,568,0.6896,8.62,1.0898,0.0088,0.2122,-0.0058,0.1241,0.0011,0.2962,0.0003
20,0.5,HDBSCAN,474,936,53,515,0.6794,8.22,1.0576,0.0083,0.1667,-0.0007,0.128,0.0012,0.2806,0.0003
13,0.7,AdaptiveDBSCAN,537,2707,46,2216,0.8539,10.9,1.0414,0.0188,0.0838,0.1011,0.0937,0.0002,0.3365,0.0001
20,0.55,HDBSCAN,540,1576,46,1082,0.7399,8.76,1.2074,0.0108,0.25,0.0172,0.1199,0.0002,0.3363,0.0001
50,0.5,AdaptiveDBSCAN,506,1145,20,659,0.6833,7.75,0.4955,0.009,0.1877,0.0041,0.1292,0.0005,0.2943,0.0001
9,0.6,HDBSCAN,520,1428,70,978,0.7561,8.98,2.0498,0.0106,0.15,0.0109,0.1235,0.0003,0.2929,0.0001
20,0.65,AdaptiveDBSCAN,531,2204,41,1714,0.8235,10.13,0.8626,0.0157,0.1412,0.0778,0.1043,0.0002,0.3428,0.0001
12,0.7,AdaptiveDBSCAN,528,2519,48,2039,0.8502,10.64,1.0953,0.0181,0.0682,0.1109,0.0981,0.0002,0.3384,0.0001
10,0.6,HDBSCAN,522,1541,53,1072,0.7584,9.32,1.9345,0.0113,0.2146,0.0043,0.1165,0.0003,0.3131,0.0001
15,0.55,HDBSCAN,513,1369,62,918,0.735,8.74,1.4003,0.0104,0.1423,0.0239,0.1219,0.0004,0.2953,0.0001
30,0.6,AdaptiveDBSCAN,530,2012,39,1521,0.7847,9.26,0.6792,0.0144,0.1604,0.0506,0.1207,0.0002,0.3309,0.0001
50,0.4,HDBSCAN,500,991,32,523,0.5747,6.26,0.6551,0.0079,0.152,-0.0513,0.167,0.0006,0.2353,0.0001
6,0.75,AdaptiveDBSCAN,541,2376,58,1893,0.8665,9.77,1.3408,0.0163,0.0591,0.1181,0.1079,0.0002,0.3466,0.0001
9,0.7,AdaptiveDBSCAN,520,2331,55,1866,0.8581,10.12,1.2162,0.0173,0.0981,0.142,0.1048,0.0003,0.3786,0.0001
35,0.45,HDBSCAN,518,1052,43,577,0.6401,6.79,0.7707,0.0079,0.168,0.0011,0.1539,0.0003,0.2869,0.0001
11,0.7,AdaptiveDBSCAN,521,2538,44,2061,0.8508,10.59,1.0841,0.0187,0.0768,0.0912,0.099,0.0003,0.3277,0.0001
6,0.6,HDBSCAN,511,1287,75,851,0.7543,8.69,2.1062,0.0099,0.0822,0.0007,0.1353,0.0004,0.2609,0.0001
40,0.45,HDBSCAN,540,1110,38,608,0.6385,6.77,0.7368,0.0076,0.137,-0.0198,0.164,0.0002,0.2618,0.0001
10,0.7,AdaptiveDBSCAN,539,2500,58,2019,0.8533,10.09,1.1644,0.0172,0.1002,0.1207,0.1005,0.0002,0.3609,0.0001
40,0.55,AdaptiveDBSCAN,503,1690,31,1218,0.7345,8.69,0.593,0.0134,0.169,-0.0061,0.1216,0.0005,0.284,0.0001
5,0.75,AdaptiveDBSCAN,507,2083,59,1635,0.8573,9.8,1.3194,0.0162,0.0473,0.1155,0.1103,0.0004,0.339,0.0001
17,0.55,HDBSCAN,525,1666,43,1184,0.7433,9.35,1.3642,0.0121,0.3219,-0.0171,0.121,0.0003,0.3422,0.0001
5,0.6,HDBSCAN,517,1027,106,616,0.7148,6.56,1.6501,0.0077,0.0619,0.0856,0.1717,0.0003,0.3248,0.0001
5,0.8,HDBSCAN,524,5724,2,5202,0.9119,30.75,3.6411,0.0418,0.5878,0.0415,0.0363,0.0003,0.4932,0.0001
11,0.6,AdaptiveAgglom,3967,10645,587,7265,0.8101,1.88,2.1961,0.0014,0.0444,0.1153,0.5387,0.0,0.5091,0.0
50,0.85,AdaptiveAgglom,28369,671921,321,643873,0.9752,2.02,1.9021,0.0017,0.2763,0.035,0.5024,0.0,0.7079,0.0
50,0.85,HDBSCAN,4491,130915,12,126436,0.9674,9.38,1.425,0.013,0.4631,-0.0454,0.1166,0.0,0.4451,0.0
50,0.85,AdaptiveDBSCAN,2936,73623,19,70706,0.9634,10.19,0.8073,0.0171,0.3879,0.0279,0.1005,0.0,0.4479,0.0
11,0.15,AdaptiveAgglom,897,369,620,92,0.2524,2.12,1.8528,0.0009,0.0256,0.115,0.4711,0.0,0.3802,0.0
11,0.1,AdaptiveAgglom,805,214,631,40,0.174,2.13,1.783,0.0007,0.0224,0.0862,0.4678,0.0,0.3429,0.0
